,Vector1,,,Vector2,,
350,-0.031868828,-2.42E-08,1.74E-09,-0.031404222,9.09E-09,-1.29E-07
355,0.021086788,-6.37E-09,4.67E-10,0.021292249,9.36E-09,-6.63E-08
360,-9.67E-04,-7.64E-09,-3.47E-08,-9.78E-04,-6.31E-09,4.05E-09
365,-3.18E-04,-4.06E-09,-3.04E-08,-3.20E-04,-5.04E-09,9.77E-09
370,-1.09E-04,-2.22E-09,-2.67E-08,-1.07E-04,-4.75E-09,1.12E-08
375,-4.09E-05,-1.29E-09,-2.36E-08,-3.74E-05,-4.52E-09,1.10E-08
380,-1.83E-05,-8.23E-10,-2.10E-08,-1.48E-05,-4.23E-09,1.03E-08
385,-1.05E-05,-5.76E-10,-1.87E-08,-7.16E-06,-3.88E-09,9.40E-09
390,-7.47E-06,-4.86E-10,-1.66E-08,-4.44E-06,-3.48E-09,8.51E-09
395,-6.14E-06,-3.65E-10,-1.49E-08,-3.39E-06,-3.16E-09,7.63E-09
400,-5.35E-06,-2.98E-10,-1.33E-08,-2.86E-06,-2.85E-09,6.84E-09
405,0.056248422,5.38E-09,-3.93E-10,0.029881069,7.68E-09,-3.63E-08
410,0.13364607,2.41E-09,-2.10E-10,0.073687194,3.00E-09,-1.43E-08
415,0.233059656,-1.21E-09,-7.63E-09,0.121759894,-1.87E-09,5.45E-09
420,0.378232996,-1.16E-09,-6.80E-09,0.195767327,-1.76E-09,5.40E-09
425,0.598533183,-1.78E-09,-6.23E-09,0.302508952,-1.83E-09,6.43E-09
430,0.939328562,-2.98E-09,-7.62E-09,0.453284525,-3.06E-09,1.01E-08
435,1.464988258,-9.22E-09,-1.17E-08,0.636448691,-3.56E-09,2.03E-08
440,1.910444871,3.88E-09,-5.75E-09,0.341865763,-5.16E-09,-5.35E-09
445,2.777390851,-4.03E-08,-1.42E-08,0.265611934,-3.66E-09,4.06E-08
450,0.351696296,-4.28E-08,1.87E-09,0.038478238,2.71E-09,4.20E-08
455,0.051824748,-1.51E-09,2.66E-10,0.006399852,-1.98E-10,1.88E-09
460,0.003699233,-6.20E-10,-1.76E-10,-0.002896528,-1.95E-10,4.42E-10
465,-1.26E-04,-3.16E-10,-8.09E-11,-0.001081596,-4.26E-11,1.59E-10
470,-2.35E-04,-1.75E-10,-3.76E-11,-3.73E-04,-4.14E-12,7.78E-11
475,-1.01E-04,-9.28E-11,-1.56E-11,-1.25E-04,1.54E-12,3.20E-11
480,-2.73E-05,-5.40E-11,-8.90E-12,-4.15E-05,3.60E-12,2.11E-11
485,-2.95E-06,-3.19E-11,-5.42E-12,-1.39E-05,3.08E-12,1.36E-11
490,4.23E-06,-1.90E-11,-3.38E-12,-4.74E-06,2.19E-12,8.69E-12
495,5.73E-06,-1.14E-11,-2.12E-12,-1.72E-06,1.46E-12,5.49E-12
500,5.48E-06,-6.93E-12,-1.33E-12,-6.97E-07,9.36E-13,3.45E-12
505,-5.004164397,7.65E-09,9.72E-10,0.006393209,-3.20E-10,-7.71E-09
510,-2.001317238,6.30E-08,1.53E-07,-1.285055948,1.42E-08,-1.63E-07
515,-1.893367592,-4.84E-08,-2.56E-07,-2.116344913,-4.66E-08,2.58E-07
520,0.283290963,-1.30E-07,1.55E-08,0.194099938,1.26E-07,3.63E-08
525,-0.818974769,-4.35E-08,3.77E-09,-0.846861833,4.17E-08,1.36E-08
530,0.337617863,-2.46E-08,7.50E-10,0.326733657,2.28E-08,8.83E-09
535,-0.003213122,-1.04E-08,5.72E-10,-8.72E-04,9.79E-09,3.48E-09
540,0.032096188,-3.41E-09,1.94E-10,0.032932152,3.24E-09,1.05E-09
545,0.072240033,-1.12E-09,7.19E-11,0.07259305,1.08E-09,2.59E-10
550,-0.031888805,-4.23E-10,3.13E-11,-0.03143964,4.41E-10,3.30E-11
555,6.76E-04,-1.69E-10,-9.47E-11,5.81E-04,1.01E-10,9.27E-11
