,Vector1,,,Vector2,,,Vector3,,,Vector4,,,Vector5,,,Vector6,,,Vector7,,
60, 20.38115732570625, 43.32082874836514, 35.688506123808175, 20.38115732570625, 43.32082874836514, 35.688506123808175, 20.38115732570625, 16.197303846990295, 23.465923043561432, 8.872908332365965, 16.197303846990295, 23.465923043561432, 8.872908332365965, 16.197303846990295, 12.100770343326113, 23.400146169051474, 10.840680827292308, 12.100770343326113, 23.400146169051474, 10.840680827292308, 12.100770343326113, 17.75259979317724
65, 97.98797077293096, 107.68425834953148, 109.8709160880028, 97.98797077293096, 107.68425834953148, 109.8709160880028, 97.98797077293096, 13.72316164428986, 2.880248923254258, 9.837981781769782, 13.72316164428986, 2.880248923254258, 9.837981781769782, 13.72316164428986, 14.834120745934847, 14.755685625014616, 12.315414953786302, 14.834120745934847, 14.755685625014616, 12.315414953786302, 14.834120745934847, 16.969425460040473
70, 73.86728496774776, 63.13570597322756, 82.05578919755165, 73.86728496774776, 63.13570597322756, 82.05578919755165, 73.86728496774776, 7.7910260549339245, 8.156842988945055, 7.275796536801895, 7.7910260549339245, 8.156842988945055, 7.275796536801895, 7.7910260549339245, 9.097831076451538, 7.879620920681618, 6.157446578435588, 9.097831076451538, 7.879620920681618, 6.157446578435588, 9.097831076451538, 15.332192630919188
75, 72.61648728484961, 66.60336863523878, 67.68881236814501, 72.61648728484961, 66.60336863523878, 67.68881236814501, 72.61648728484961, 4.367054170639582, 16.119746434845545, 23.795017383178166, 4.367054170639582, 16.119746434845545, 23.795017383178166, 4.367054170639582, 12.063624997318545, 27.532737051271944, 18.806295720037777, 12.063624997318545, 27.532737051271944, 18.806295720037777, 12.063624997318545, 8.322704620911804
80, 189.8234764137159, 209.1337631039272, 187.9468600781858, 189.8234764137159, 209.1337631039272, 187.9468600781858, 189.8234764137159, 15.439653277969905, 8.466942004224148, 12.819591118444073, 15.439653277969905, 8.466942004224148, 12.819591118444073, 15.439653277969905, 12.729782532152873, 25.654185078874022, 16.049433257400278, 12.729782532152873, 25.654185078874022, 16.049433257400278, 12.729782532152873, 19.942202116748447
85, 30.19359695681941, 43.87526838155505, 42.06871708582556, 30.19359695681941, 43.87526838155505, 42.06871708582556, 30.19359695681941, 1.518197566209851, 0.9968374096019309, 7.011463678428272, 1.518197566209851, 0.9968374096019309, 7.011463678428272, 1.518197566209851, 10.507842579729484, 10.773930576938833, 7.330896018470556, 10.507842579729484, 10.773930576938833, 7.330896018470556, 10.507842579729484, 1.1149561869344344
90, 153.34290025726654, 159.0164820510202, 171.72555288039908, 153.34290025726654, 159.0164820510202, 171.72555288039908, 153.34290025726654, 26.495232494046363, 24.107611210437895, 7.043302354981009, 26.495232494046363, 24.107611210437895, 7.043302354981009, 26.495232494046363, 21.717912346213666, 32.05742726568569, 11.62043856912917, 21.717912346213666, 32.05742726568569, 11.62043856912917, 21.717912346213666, 24.363066254449194
95, 74.66516368854644, 56.26027684857759, 82.84365018921027, 74.66516368854644, 56.26027684857759, 82.84365018921027, 74.66516368854644, 10.922314081004561, 13.644533995680376, 24.831458196224126, 10.922314081004561, 13.644533995680376, 24.831458196224126, 10.922314081004561, 29.859418037308185, 51.92492508459663, 18.85043132220396, 29.859418037308185, 51.92492508459663, 18.85043132220396, 29.859418037308185, 11.083995131166697
100, 108.80040176767618, 103.1098313637983, 96.39403255419168, 108.80040176767618, 103.1098313637983, 96.39403255419168, 108.80040176767618, 5.180388307673831, 13.15020229998789, 2.4683170343347434, 5.180388307673831, 13.15020229998789, 2.4683170343347434, 5.180388307673831, 17.153247758389046, 17.597639936207482, 10.770000781689086, 17.153247758389046, 17.597639936207482, 10.770000781689086, 17.153247758389046, 20.25161041818979
105, 73.16657938560347, 70.81397433837587, 79.44858683987205, 73.16657938560347, 70.81397433837587, 79.44858683987205, 73.16657938560347, 10.959686109854314, 13.439140672884527, 9.476182998915226, 10.959686109854314, 13.439140672884527, 9.476182998915226, 10.959686109854314, 12.069550327085857, 8.325110955178475, 14.728901627339102, 12.069550327085857, 8.325110955178475, 14.728901627339102, 12.069550327085857, 13.12306253446341
