,Vector1,,,Vector2,,
380,-1.133447042,0.63323784,-0.975336473,-0.975287508,1.133428073,-0.633236866
385,2.004538599,-0.886628088,0.393731034,0.393731662,-2.004546333,0.886629046
390,2.198556086,-1.257662381,1.056855741,1.056900444,-2.198529918,1.257595937
395,-0.587238344,-1.044016409,0.118362157,0.118302629,0.587266873,1.044051692
400,1.575214584,-0.289279308,-0.136982864,-0.136923885,-1.575213194,0.289306429
405,0.094823687,0.013595873,0.014320196,0.014314723,-0.09487971,-0.013561876
410,-1.068437746,0.089736892,0.276710824,0.276717399,1.068427742,-0.089719881
415,-1.262214202,-0.948920761,0.458496147,0.458513805,1.262219504,0.948911183
420,1.970598614,-1.843925034,0.05276598,0.052773582,-1.970613435,1.843932942
425,1.894095072,-0.514355465,0.571713785,0.571806899,-1.894122967,0.514479947
430,1.298392841,-0.104896553,-0.185749666,-0.18580867,-1.29841571,0.104910454
435,0.782663863,0.623528908,-0.551465503,-0.551502737,-0.782642468,-0.623525202
440,1.077975617,0.324760223,0.787457018,0.787448572,-1.07795857,-0.324776528
445,-3.355035357,-0.383673917,0.814712362,0.814764637,3.355028623,0.383691091
450,-3.674245644,-1.828481982,0.603744193,0.603778164,3.674295936,1.828508291
455,0.385056463,-0.143902322,0.330263726,0.330282479,-0.385059441,0.143825697
460,-0.888431754,0.351498495,0.035364134,0.035349389,0.888455871,-0.351426939
465,-1.318057013,0.412417193,0.516710043,0.51669313,1.318082284,-0.412403384
470,-1.639803366,-0.809015302,0.392109862,0.392132858,1.639829747,0.80898393
475,0.642437525,-0.202644816,-0.137175421,-0.137155691,-0.642468725,0.202632396
480,-1.534502262,1.192655628,-0.018658463,-0.018663758,1.534497817,-1.192637716
485,-0.717222526,1.619698514,0.535879187,0.535740459,0.717161775,-1.61960415
490,-0.651881175,0.547091766,-0.196809073,-0.196667435,0.651728699,-0.54677172
495,-2.116285841,0.556827208,0.317494419,0.317518113,2.116292981,-0.556785577
500,-1.060546242,0.093348101,-0.158448493,-0.158441135,1.060610848,-0.093382514
505,0.279058234,-0.680926985,-0.158862888,-0.158862843,-0.279027429,0.680878238
510,-0.158017397,-0.125207003,0.369633214,0.369639195,0.157996522,0.125219941
515,0.310655321,0.083243949,3.02112321,3.020979091,-0.310497834,-0.083358852
520,0.63618211,2.319102618,0.981263474,0.981333438,-0.636187532,-2.319075457
525,-3.025089639,0.511333329,-0.040245159,-0.040169598,3.02499112,-0.511524973
530,-2.64595894,0.544105458,-0.067886111,-0.06789811,2.645956124,-0.544119539
535,0.914480474,-0.159227299,-0.222480094,-0.222547571,-0.914550335,0.159133462
540,0.485629135,-0.527442499,-0.045523746,-0.045583868,-0.485645001,0.527391586
545,2.35095827,-0.254585111,0.084935987,0.085039175,-2.350846462,0.254623028
550,2.159458202,1.622300675,0.801619822,0.801638206,-2.159501641,-1.622292558
555,0.971239086,0.335178747,0.051920875,0.051949586,-0.971216075,-0.335145558
560,0.568382224,-0.063324319,0.107938534,0.107861834,-0.568403756,0.063326739
565,1.621988929,-0.855814895,-0.043675856,-0.043756278,-1.622016837,0.855820167
570,0.890304463,-0.308018503,0.119325852,0.119167533,-0.890230305,0.307683181
575,0.450380067,-0.254027827,0.227552389,0.227592803,-0.450375544,0.254010664
580,-1.599997548,0.470390549,-0.168010592,-0.167982828,1.599954354,-0.470345119
585,0.102097705,-0.048839166,0.02727132,0.027299283,-0.102101482,0.048852033
590,0.191137915,-0.02375026,0.13128378,0.131272472,-0.191159314,0.023752813
595,-0.084439271,0.01072514,0.045741501,0.045724498,0.084456869,-0.010719104
600,-1.39E-04,8.87E-05,0.003702603,0.00369501,1.34E-04,-8.72E-05
605,-0.715775856,0.375792478,-0.033892112,-0.033847117,0.715752295,-0.375772087
610,-0.578489914,0.811330154,0.247313291,0.247261356,0.578474329,-0.811298579
615,1.181742239,0.880372798,0.095081098,0.095070516,-1.18176235,-0.880347345
620,0.352726429,-0.731941584,-0.422709232,-0.422662787,-0.352669401,0.731907551
625,0.540441837,-0.441309414,-0.604312104,-0.604207833,-0.540556883,0.441099367
630,-1.294374927,0.761678975,-0.202951784,-0.203008466,1.29441595,-0.761615791
635,-1.978127823,1.452853444,1.153532928,1.153498883,1.978145728,-1.452843417
640,1.135985376,1.156327718,0.452731865,0.452666788,-1.136012796,-1.156277184
645,1.726630886,1.138046343,-0.276679716,-0.276672047,-1.726626134,-1.138040834
650,-0.676702462,-0.00858057,0.251015052,0.251035993,0.67674187,0.008544228
655,1.635606721,-1.189871235,-0.124912851,-0.124831398,-1.63561298,1.189770385
660,0.705951227,-0.116738956,-0.081696596,-0.08167106,-0.705925467,0.116767964
665,-0.655129832,0.39159935,0.035954554,0.035904004,0.655181424,-0.391532919
670,-1.471301835,1.005896853,1.032665855,1.032632164,1.471323862,-1.005883449
675,0.002552972,-0.109336708,-0.303463522,-0.303473676,-0.00259547,0.109426677
680,0.248646019,0.322600407,0.414958736,0.415018883,-0.248611091,-0.32261769
685,0.642871702,-0.086814162,-0.168810139,-0.168807388,-0.642832791,0.086816598
690,0.633911295,-0.084262598,-0.145318451,-0.145322557,-0.633895188,0.084262262
695,0.763042206,-0.099712831,-0.167200663,-0.167205096,-0.76303532,0.09971115
700,1.098791827,-0.146051499,-0.245173543,-0.245182677,-1.09878771,0.146050197
705,1.007353204,0.233570272,-0.251741202,-0.251500195,-1.007234294,-0.233474848
710,3.759880694,-0.457232512,-0.463536878,-0.46358729,-3.759936298,0.457250231
715,0.481296127,0.050552741,0.246130219,0.246137795,-0.481235726,-0.050500343
720,1.513351148,0.955683196,0.731715558,0.731820703,-1.513384268,-0.955581039
725,-2.180773208,-0.134617594,-0.09512874,-0.095037185,2.180820862,0.134714949
730,3.159938291,0.429556494,0.242888251,0.242868704,-3.159933346,-0.42954901
735,3.461010781,0.119783782,-0.529376407,-0.529475276,-3.461027622,-0.119852748
740,7.705803654,-0.385991997,-0.74380679,-0.743854419,-7.70586165,0.386015785
745,4.843100356,-0.186426274,-0.205943582,-0.2061069,-4.843048329,0.186417627
750,-0.222641589,2.148171764,0.443812233,0.443965582,0.222835639,-2.148004131
755,3.195323949,1.566568761,0.704645014,0.704701399,-3.195399305,-1.566526203
760,-0.680747549,-0.260425241,0.483626484,0.483797178,0.680803975,0.260436652
765,-0.966414373,0.080614338,-0.014664667,-0.01462283,0.966437876,-0.080685864
770,-0.914649974,-0.140868794,-0.43701178,-0.437063106,0.914612453,0.140846317
775,-0.878140521,-0.858492,-0.179277367,-0.179315283,0.878120703,0.858481229
780,3.346022487,-0.252916299,0.057599882,0.057853202,-3.345920179,0.253036426
785,1.577754036,0.455821312,0.694085568,0.694082772,-1.577792138,-0.455807304
790,0.988682473,0.82199404,-0.165291069,-0.165292544,-0.988693845,-0.82198952
795,-0.369239615,-0.045752519,0.06010061,0.060120374,0.369257493,0.045767335
800,-0.728236797,0.057680323,-0.095026035,-0.095005401,0.728250259,-0.057664865
805,-2.106550193,-1.228493871,-1.498413769,-1.498421279,2.106536332,1.228499457
810,-1.21280777,-0.621961943,-0.445529439,-0.445522644,1.212808721,0.621948737
815,-3.501852867,-0.908793214,-0.68990392,-0.68990326,3.501868454,0.908765155
820,-5.669827116,-0.204021578,-1.251760565,-1.251819345,5.669908664,0.203969497
825,-1.006670648,1.873518761,-0.661314383,-0.661796078,1.006612341,-1.874215232
830,-2.958740611,2.195115275,0.536886786,0.536677967,2.958820687,-2.195014838
835,0.900754999,0.68041841,-0.645692729,-0.645708542,-0.900754186,-0.680504865
840,-0.323728891,0.018407639,-0.281877449,-0.282070844,0.323649979,-0.018532759
845,-0.422474177,-0.956301921,-0.643013272,-0.642865238,0.422477222,0.956301452
850,0.827999604,-0.62648929,-0.331875261,-0.331811876,-0.828023376,0.626401811
855,-5.680717864,0.058472921,-0.510980035,-0.511008428,5.680714635,-0.058422035
860,-4.731276525,0.003622118,0.108357844,0.108270769,4.731213412,-0.003412157
865,-5.286123406,-1.141603266,-0.507155042,-0.507043249,5.286134694,1.141622568
870,0.034028878,-0.227426973,0.350951638,0.350937896,-0.033978983,0.227394017
875,-0.0877425,0.372092173,0.231349775,0.231397307,0.087702577,-0.372083374
880,-0.326269097,0.036225313,0.039631924,0.039579283,0.32629145,-0.036227098
885,-0.98576128,0.423640101,0.063125565,0.063072693,0.98578984,-0.423631394
890,-0.09630084,-0.626486373,-0.065873572,-0.065841424,0.096357941,0.626452421
895,1.572481523,-0.198028202,-0.085677655,-0.08563753,-1.572463513,0.198021376
900,0.430571772,0.987131078,0.384115809,0.384110541,-0.430606414,-0.987113888
905,4.034778345,0.374567808,-0.557302862,-0.557339813,-4.034747858,-0.374556669
910,-0.193274872,-2.451894856,-0.31306717,-0.313307963,0.193248993,2.451620614
915,0.118021243,0.168098351,-0.458398801,-0.458396371,-0.118022485,-0.168162756
920,0.025029195,0.088368793,-0.462867291,-0.462867469,-0.025035953,-0.088316509
925,0.562766799,1.442446513,-0.138706143,-0.138626533,-0.562838387,-1.442340594
