,Vector1,,,Vector2,,
380,-0.290440164,0.334742157,-0.025131591,0.334712205,0.290391009,-0.025106604
385,-0.002999245,-0.110403292,0.01745052,-0.110406875,0.00299241,0.017447061
390,-0.132334037,0.103546342,-0.005642178,0.103551994,0.132371118,-0.005629493
395,-0.002250842,0.004142568,-6.05E-04,0.004148392,0.002251897,-6.22E-04
400,-5.81E-04,0.001595894,-1.80E-04,0.001597877,5.81E-04,-1.86E-04
405,0.587481633,-0.24702268,0.192786571,-0.247017312,-0.587484033,0.192782376
410,0.966720959,-0.292266858,0.45832136,-0.29225676,-0.966738275,0.458305933
415,0.325713896,-0.053284652,0.19270095,-0.053274289,-0.325721688,0.192697845
420,1.58E-04,0.003802545,-8.89E-05,0.003804404,-1.58E-04,-9.57E-05
425,2.23E-04,0.00118725,3.16E-05,0.001187599,-2.23E-04,2.95E-05
430,2.42E-04,3.34E-04,6.54E-05,3.33E-04,-2.43E-04,6.53E-05
435,2.74E-04,4.38E-05,7.59E-05,4.31E-05,-2.73E-04,8.14E-05
440,2.95E-04,-5.59E-05,8.11E-05,-5.63E-05,-2.93E-04,8.85E-05
445,3.00E-04,-8.65E-05,8.44E-05,-8.68E-05,-2.98E-04,9.03E-05
450,3.00E-04,-9.52E-05,8.65E-05,-9.54E-05,-2.99E-04,9.05E-05
455,2.99E-04,-9.75E-05,8.78E-05,-9.77E-05,-2.99E-04,9.04E-05
460,2.99E-04,-9.84E-05,8.79E-05,-9.85E-05,-2.99E-04,8.90E-05
465,2.99E-04,-9.90E-05,8.75E-05,-9.90E-05,-2.99E-04,8.79E-05
470,2.99E-04,-9.91E-05,8.74E-05,-9.91E-05,-2.99E-04,8.75E-05
475,2.98E-04,-9.92E-05,8.74E-05,-9.92E-05,-2.98E-04,8.74E-05
480,2.98E-04,-9.92E-05,8.74E-05,-9.92E-05,-2.98E-04,8.74E-05
485,2.98E-04,-9.91E-05,8.74E-05,-9.91E-05,-2.98E-04,8.74E-05
490,2.98E-04,-9.91E-05,8.73E-05,-9.91E-05,-2.98E-04,8.73E-05
495,2.98E-04,-9.91E-05,8.73E-05,-9.91E-05,-2.98E-04,8.73E-05
500,2.98E-04,-9.91E-05,8.73E-05,-9.91E-05,-2.98E-04,8.73E-05
505,-2.763713188,1.317842165,-0.455947484,1.317836415,2.763688328,-0.455894147
510,0.906217155,-0.663607244,0.0137507,-0.663696257,-0.906175844,0.013308678
515,-0.334965416,-0.520698447,0.428390695,-0.520641083,0.335008838,0.428449742
520,1.270629057,-1.057313142,0.403167527,-1.057302932,-1.27062634,0.403176719
525,-2.366995463,-0.708159506,0.414679117,-0.708089088,2.366946637,0.414746689
530,-5.876398194,1.668805946,-1.586244123,1.668716411,5.876386626,-1.585867061
535,-5.19443358,2.869752927,-1.029721088,2.869808969,5.194456237,-1.029737809
540,-2.58101526,1.007758828,0.297350682,1.007801949,2.581041369,0.297392951
545,-1.686386751,1.718421173,2.738875784,1.718511478,1.686401723,2.738841097
550,-1.366208586,0.033235013,3.218871125,0.033116715,1.366251889,3.218904609
555,-0.207824312,0.05464641,-0.169456236,0.054604834,0.207830762,-0.169412056
560,0.034192133,-0.700809773,0.077733665,-0.700913875,-0.034146089,0.077816877
565,-0.32015269,-0.386036052,-0.207895757,-0.386029919,0.320194505,-0.207982676
570,-1.102002351,-0.497929317,-0.110209913,-0.497891122,1.102051008,-0.110245571
575,-0.396075774,-0.061339783,0.080694266,-0.061337876,0.396116524,0.080682049
580,-0.95390238,0.047703994,0.288608822,0.047704977,0.953943693,0.288603086
585,-0.384152835,-0.074930215,0.243427597,-0.074943729,0.38414455,0.243440456
590,-0.310809226,-0.062196272,0.214196945,-0.062201566,0.310803031,0.214206172
595,-0.330356886,-0.07274225,0.22698629,-0.072744186,0.330351504,0.226994483
600,-0.449869469,-0.100517463,0.308378837,-0.100517962,0.449863296,0.308388756
605,2.374693814,-1.082180755,0.807268225,-1.082162088,-2.374655357,0.807160136
610,2.717569923,-0.096206141,-1.126506896,-0.096228033,-2.717591873,-1.126570257
615,1.826032795,-0.264887277,-1.890239433,-0.26485964,-1.826014777,-1.890253225
620,-1.391905849,-0.520595962,0.610913581,-0.520477316,1.392000676,0.611156583
625,5.920027734,-1.309744878,-0.496804634,-1.309543443,-5.919985335,-0.496816025
630,6.703022574,-0.951739195,-0.245099591,-0.951768911,-6.703107831,-0.245189763
635,1.955714041,1.904737156,0.140902208,1.904615071,-1.955602874,0.140512343
640,-0.519610342,2.086995449,1.162924645,2.086896151,0.519650399,1.163137335
645,-1.414364473,1.876482307,1.546236712,1.876337722,1.414434028,1.546156687
650,-4.968379858,1.649444003,1.443404687,1.649382029,4.968364928,1.443620098
655,-1.256421378,0.560635437,-0.122371621,0.56070409,1.256493444,-0.12223174
660,0.260735592,-1.027429785,0.757765384,-1.027425471,-0.260795816,0.757732133
665,5.978644876,-0.462968354,0.580849689,-0.462873468,-5.97868176,0.580749801
670,-0.702516113,0.66243144,0.580271328,0.662274601,0.702581711,0.580336219
675,1.607231308,-0.011530549,-0.318013571,-0.011499242,-1.607208637,-0.31802657
680,0.319631225,0.030042455,0.103210139,0.030016457,-0.319591441,0.103161112
685,0.406491912,-0.208917767,-0.00661666,-0.208823457,-0.406530686,-0.006654576
690,1.532987093,-1.012718991,0.086377666,-1.012642249,-1.532926196,0.086552649
695,0.246953701,-0.899604022,0.086488628,-0.899630337,-0.246879896,0.086337578
700,-1.545576114,1.464018381,0.300428281,1.464000977,1.545554967,0.300534855
705,0.512916903,-1.017792305,-0.733175846,-1.017597651,-0.513093142,-0.733242341
710,0.883492404,-1.287063515,-0.553779769,-1.287049644,-0.883492901,-0.553758876
715,0.678276562,-0.728115226,0.353582326,-0.72802386,-0.67835721,0.353583563
720,-1.674174812,-0.194903426,-0.198328383,-0.194980774,1.674186766,-0.198334463
725,-1.604550721,1.050858986,0.33534756,1.05080615,1.604584729,0.335349363
730,-0.710006893,0.977729371,0.945445756,0.977690404,0.709987548,0.945471342
735,0.284581838,-0.007481794,0.581014541,-0.007445853,-0.284611095,0.580981131
740,1.579838215,0.368788534,-0.328961254,0.368812125,-1.579846882,-0.328966378
745,1.172150066,-1.005330428,-0.938097015,-1.005382681,-1.17208384,-0.93803869
750,-0.619744191,0.53841748,-0.800170858,0.538377151,0.619789506,-0.800162973
755,-2.08703734,1.853262212,0.39706174,1.853283303,2.087047828,0.397157845
760,-0.603277877,1.542730226,0.474523171,1.542761078,0.603281185,0.474530232
765,-0.623540163,0.268891376,0.291936803,0.269033883,0.623470632,0.291852596
770,-1.178749117,0.521174173,-0.017832831,0.521126758,1.178772633,-0.017818526
775,-2.503966035,0.401803054,-0.271654721,0.401551579,2.504012128,-0.271593668
780,-8.527929763,0.747999095,0.965225364,0.747829794,8.527933601,0.965328456
785,-8.55549388,2.093170421,0.24678533,2.093017589,8.55554968,0.246953238
790,-3.53042716,0.169367904,1.208803164,0.169339814,3.530457397,1.208887064
795,-2.860682187,-0.352238659,0.883758855,-0.352273864,2.860674032,0.883816959
800,-1.019540998,-3.414614617,-0.464136965,-3.414618943,1.019442382,-0.464135827
805,0.367954966,0.491793443,-0.16468703,0.49198627,-0.367836685,-0.164681029
810,2.89929518,-0.45633585,-1.021894874,-0.456296854,-2.899291093,-1.021951772
815,1.038347501,-0.16791141,-0.790203842,-0.167912549,-1.038373866,-0.790248772
820,2.482774982,0.131742395,-1.746582531,0.131775602,-2.482760357,-1.746601885
825,2.503189451,-0.945966963,0.773764109,-0.946014814,-2.50305735,0.773866986
830,6.994116811,-0.932575315,0.341151125,-0.932622265,-6.994121666,0.341004441
835,6.96013735,0.408698458,-0.22062247,0.408710602,-6.960177822,-0.220726316
840,-0.831208511,-0.259534282,0.413440731,-0.259781536,0.831365701,0.413375192
845,-0.135877497,-0.032146283,0.489303624,-0.032179857,0.135893235,0.489270406
850,-1.388175414,0.669490761,-0.330423795,0.669526037,1.388173168,-0.330362922
855,-2.15190521,0.20977873,-0.583316031,0.209850455,2.151915669,-0.583238477
860,-3.781330055,-0.127468644,0.119876678,-0.127407159,3.781370493,0.120012054
865,3.868081602,-0.383987474,-0.193656718,-0.384053849,-3.868011612,-0.193854822
870,1.482794726,-0.461355295,-0.083936735,-0.461257794,-1.482765386,-0.084041935
875,0.764624428,-0.363320889,0.42610664,-0.363389944,-0.764562025,0.426129339
880,1.179586936,0.027300697,-0.016234042,0.027338658,-1.179573286,-0.016323938
885,0.037533025,0.144955048,-0.100591601,0.145043307,-0.037620179,-0.100587418
890,-0.021116453,-0.352440389,-0.305136288,-0.352383271,0.021068843,-0.305146151
895,0.296501699,-0.147370682,0.007852851,-0.147343209,-0.296530366,0.007800459
900,0.324753027,-0.156598384,0.003023627,-0.156585705,-0.324764,0.003005812
905,-0.548145922,-0.695008854,0.050895715,-0.694920647,0.548075564,0.05086701
910,0.891566298,-0.828604808,-0.558853986,-0.828598718,-0.891569294,-0.558744362
915,-1.193987449,0.94246189,0.245204535,0.942450433,1.193968333,0.245237838
920,-1.294309351,1.389708719,0.616024838,1.389736806,1.294322155,0.616011356
925,0.110806469,0.999779302,0.65873424,0.999820564,-0.110832197,0.658528354
930,-1.579469746,1.483311803,0.691736478,1.483231896,1.57951405,0.691663934
935,-4.820143312,1.583857501,1.976275874,1.583797921,4.820204409,1.976787302
940,-5.156416896,-0.039497301,-0.05727395,-0.039622106,5.1564378,-0.057097909
945,-4.750616001,0.586006157,-0.442600367,0.585746105,4.750557005,-0.442484554
950,-2.176203227,1.075779501,0.994119004,1.07576283,2.176128522,0.994152489
955,-2.368897998,0.787846596,2.478819882,0.787885342,2.368915617,2.478846977
960,-0.379034056,-0.410199601,1.191145585,-0.410049808,0.378973714,1.191362424
